rownames,UP0042_CTRL,UR16_2319_HP160021451_A,UP0042HHT1,UP0042_HHE1.combined,UP0042_HHE3.combined
1:1-500000,,,,,
1:500001-1000000,,,,,
1:1000001-1500000,0.9742194375587176,1.1820851167074227,1.1391596057996638,0.9503097406220264,0.9425628275124247
1:1500001-2000000,,,,,
1:2000001-2500000,0.9968109440757823,1.0941196629517174,1.2368578941099622,0.9696347325210647,0.9748960754061724
1:2500001-3000000,,,,,
1:3000001-3500000,1.015338516666176,1.0322147586140407,1.1085801648331868,0.8313525764989598,0.9712968532981314
1:3500001-4000000,,,,,
1:4000001-4500000,,,,,
1:4500001-5000000,0.9727090125004415,1.0828997213984162,1.2203078097178148,0.9097561702983975,0.9404641135534304
1:5000001-5500000,1.0135546405438218,1.1415917935407154,1.205151624389721,0.8757645488562714,0.9505900865812801
1:5500001-6000000,,,,,
1:6000001-6500000,0.9932449233631727,1.1603458754426714,1.3489027935789293,0.95585690739759,0.9979270485634171
1:6500001-7000000,0.973164970440159,1.2887201975906806,1.354332101037189,0.9724253507819391,0.976831812923938
1:7000001-7500000,1.0230297963218762,1.2278757107695406,1.349890594962184,0.9162049048510581,1.0134163910407539
1:7500001-8000000,0.9743841445615964,1.2677543396214483,1.3755692331545981,0.9598651389778533,0.9544610926835709
1:8000001-8500000,1.0292633412154308,1.3045129422723123,1.4267868778128054,1.0164032029101007,0.9951967055167785
1:8500001-9000000,1.0276052872864867,1.2905562453059034,1.4119224478314158,1.058975188573903,1.0418714706684475
1:9000001-9500000,1.006808792794642,1.3063628229391449,1.4198715842644107,0.9995890651422233,1.0266233561870228
1:9500001-10000000,1.030203329246026,1.2573390843720964,1.3628573540322728,1.0243296452277177,1.016240547801626
1:10000001-10500000,1.0310512628771655,1.2822562333044052,1.4440024644113203,1.039781898709876,1.050415823967112
1:10500001-11000000,1.0406509059905384,1.3286789433904607,1.3796144621777529,0.9216295157043649,0.9785300495001076
1:11000001-11500000,1.0437441230963516,1.049256799696397,1.0786757065284722,0.9229249081741459,0.9979292722272192
1:11500001-12000000,1.0141080165535046,1.0566710282435294,1.0675731317985855,0.9717441282237205,0.9711056637700681
