,UR16_2319_HP160021451_A,UP0042HHT1
0,2.472704269578885,2.5128063673627277
1,3.1956811539244354,3.19273325064652
2,5.269212783572525,5.186307232434105
3,3.115058723671676,3.1207957330109535
4,4.58945761216277,4.504953122778675
5,4.170773492935317,4.167995721953228
6,1.92272261868724,1.9262358396103432
7,3.622205920949055,3.117702399804787
8,4.168691060648358,4.179333502568534
9,1.9295026385551064,1.9871837720721262
10,0.6227114758504739,0.6844788208049292
11,5.267066780295391,4.194320474878535
12,4.089961614809504,4.144751630382328
13,1.9305747917415472,1.9373419255747824
14,3.0296092093221576,2.9811143753023286
15,4.135448667724699,4.031059396679242
16,3.013107708790338,3.0580780075576737
17,4.006158508458864,4.085470633669689
18,3.716562997069159,4.078421290983104
19,6.352694414551867,6.123611561465571
20,4.21431396772811,3.9382966178477954
21,2.8363808931050163,1.9442976902966025
22,2.8441882128197293,3.0646450121761415
23,3.1998617234525697,2.9896417352451197
24,3.8611852607994384,4.045260266936862
25,2.9065925794784793,2.9317079161261526
26,1.8422842194580464,1.8269316684730958
27,3.034521210670983,3.0935499810723606
28,1.9091248160075731,2.0116916125639817
29,0.8461759045119263,0.9759558555089631
30,1.9834759938814936,2.1353566452608934
31,3.8338914383255283,4.019472173522741
32,2.954533101766227,2.806270452115168
33,1.9424390306754122,2.0004292197765525
34,5.0273124153135,4.397495909473634
35,5.181193161155489,5.564984282944716
36,5.153133565341726,4.628833700498534
37,3.1493564421619054,3.171889980948583
38,7.074181277792951,6.386822170926196
39,0.8655415576659224,0.9287551977106858
40,2.961568769234759,3.0254899429826674
41,4.131992737989572,5.330417311955548
42,6.3107130874319886,7.24078619706907
43,0.9041437986851114,0.9184935615785185
44,1.971323199195039,1.9636256058666806
45,3.024959411946048,3.0023489511482184
46,3.026969819949805,3.0242671568083237
47,3.57839615814835,2.596718183038036
48,2.6465133488974546,2.0623178798402915
49,1.9671782600540677,2.003998157641634
50,1.1372657651392806,0.9103938526087226
51,2.9153375347334824,2.986403561938088
52,3.0320259148158657,2.8981374184857764
53,3.8464903833342916,4.008284307765807
54,6.617676367368444,6.51524532493351
55,4.1370328938668255,3.9508858218782548
56,2.9983609988985758,2.8255645411316137
57,5.225357864347709,5.2225168660391414
58,3.1672575668888148,3.118258044380811
59,2.09109040171161,2.027779142435493
60,2.5595525767974636,2.1504907949841865
61,1.9751360789060457,2.016185697859524
62,0.9430982063661333,1.0214989027694759
63,3.103718246621453,3.2363380701435487
64,4.233789183274801,4.560639401573017
65,1.9183196569226122,1.9897215555290917
66,2.736752600218903,3.0626907346167114
67,2.181439359296544,2.2970819765969774
68,0.8858354230090604,0.9650830220064979
69,2.9797494609225863,3.0967681310098643
70,4.0362598891605295,4.066501755697389
71,3.1546921145317857,3.233080224772306
72,1.8853404586046114,2.0489839643981016
73,1.9464693202261363,2.021254811771316
74,3.105240838895977,3.1669790644484257
75,4.094416198710609,4.096503653243689
76,2.6232368403981123,2.1610141834854515
77,5.264960445975248,5.521074573076933
78,3.0811515669557066,3.2047919634206057
79,5.228148208491451,5.567798910227825
80,3.0630455877558243,3.2858700830280254
81,2.006401420683816,2.0803494930717727
