,UH18_7946,UP0053_HHE1.combined,UP0053_HHE3.combined
0,2.0013896970999445,2.0025228297232283,2.0982658973003905
1,2.0076767137877214,1.9714337787349814,2.0774636562746833
2,1.981738318187349,1.9010734756922458,1.8381030238012495
3,1.970323151743727,1.9816491522261968,2.0417036097439016
4,3.051772280581737,3.018023408895944,3.1233117749546135
5,1.946590052327986,1.9017315456139912,1.935498815865124
6,2.0368850011348947,2.04540778015134,2.192671844232938
7,5.2035479062205185,5.067139148870711,5.186062473371069
8,1.9898886441660977,1.887139801544635,1.899968415771565
9,1.743835874354169,1.6236558485712713,1.4686284978546733
10,1.967733613211648,1.9058952669354594,1.8317738791602083
11,1.9927972868288173,1.998788921306426,2.138113693149052
12,2.0567061198678496,2.001591737599588,2.1223377107933064
13,2.009211400708735,1.9647489163864615,2.0256550379581055
14,0.9949261155983442,0.956149844647022,1.0249074109788818
15,1.9717182136593359,1.9310785121061222,1.9880030377597673
16,0.9043633569979641,0.872084476216709,0.7565184424424372
17,0.9258931315495791,0.8562270620146806,0.7492993114475321
18,5.775343169993819,5.451438341048224,5.235694595254421
19,5.978622929204533,5.898931621510754,6.0127817315242655
20,5.729319425915861,5.546110512544324,5.438978417295728
21,1.9627959165387299,1.9313319796592923,2.018108203736579
22,1.9873388439562345,1.942498308042091,1.9953933381460918
23,1.957797780754279,1.9406220283577311,2.0094104200923217
24,1.0095321229660037,0.9911467902172117,1.0930594411913852
25,2.0295858639591584,1.9946135861572123,2.0570499131241333
26,0.996236609071363,0.9527331750728749,0.9047635742120357
27,1.0187748640411591,1.0654826297806848,1.2845388807693958
28,1.0098141513450567,0.9614718347279023,0.9786669762026989
29,1.998968142644971,1.9769392401599584,1.9932579552166871
30,1.9823980008875206,1.9822831590571055,2.0826841581357205
31,1.9306612009177748,1.8938632803745499,1.8571868895562131
32,0.9534417739621375,0.9042418104249241,0.9033661248527629
33,0.9629835685274795,0.932985578277322,0.9376041922725604
34,2.0232574837119883,2.000121712638443,2.1326744255020573
35,2.046322006856312,1.9311651316320335,2.090043855866179
36,2.2015581896826433,2.00627194295531,2.2009032259115884
37,2.1694402893814173,2.011118836816516,1.9393578112942989
38,1.8624087792744863,1.898590787073423,1.9553611110187952
39,1.7290884712214614,1.6385168043213003,1.6327489451267774
40,1.1085616091889066,1.0856154736624908,1.305403201189435
41,2.2635132100728503,2.175096155049219,2.1859594550854013
42,1.9845647563847972,1.9729549164860056,2.3064203190579575
43,2.109778041792649,2.315862961123096,3.9283092870048435
44,2.963519188038286,2.7703324076837004,2.462214853874093
45,2.0259636055452197,1.9408786989201297,1.9489685457197046
46,0.8926775258026425,0.9181143181535032,0.968475765643958
47,2.031245158361066,1.9657153149763116,1.9981044080882835
