rownames,UP0018_CTRL,H4774_15_B1,UP0018HHT2,UP0018_HHE2.combined,UP0018_HHE1.combined
1:1-500000,,,,,
1:500001-1000000,,,,,
1:1000001-1500000,0.9754339123727319,1.0349956988982414,1.211953427226055,1.0264737575234562,1.0099322563521003
1:1500001-2000000,,,,,
1:2000001-2500000,1.0006400210849513,0.909108182231447,0.9824708434809688,0.9850457682026849,0.9718006798501972
1:2500001-3000000,,,,,
1:3000001-3500000,0.9950971380406913,0.8419279467977785,0.8608477155753759,0.9829003231022777,0.9380365678812749
1:3500001-4000000,,,,,
1:4000001-4500000,,,,,
1:4500001-5000000,0.9821233149167576,0.7477161793109062,0.8418965101304985,0.9305215635953515,0.9181686163574184
1:5000001-5500000,1.025174581119417,0.7976014742419111,0.8824254041542802,0.956595195760989,0.9686771781207987
1:5500001-6000000,,,,,
1:6000001-6500000,0.9705139289579666,1.0034639083081454,1.0709509754673316,1.0411558659334557,1.0275452300456882
1:6500001-7000000,1.048658992075361,0.931073988696354,1.0968471696366175,1.0099261275293363,0.9960022857685985
1:7000001-7500000,1.0108411678201434,0.916652124595765,0.9529056844899337,0.9655755326281363,0.9845045798259631
1:7500001-8000000,0.9536820199506847,0.881932737557426,0.9855492625642627,0.9791237196889485,0.9929776101187708
1:8000001-8500000,0.9843873556873016,1.0115542627766996,1.0721065493087178,1.0279188389351066,0.9949771357731886
1:8500001-9000000,0.982537711407255,1.024739426464412,1.1197138259231916,1.041340395061409,1.0306513096850423
1:9000001-9500000,1.0398056732013032,1.0097021284872472,1.1399321851146063,1.1179034404254204,1.0657440686311856
1:9500001-10000000,1.0129165230624502,1.092943884536764,1.1403599696739162,1.0723999827019772,1.0817573410988064
1:10000001-10500000,1.0079424630394411,1.0950677766600239,1.1381323446717895,1.0371227105796894,0.9943324561525769
1:10500001-11000000,0.9939330364160597,1.006046092447477,1.0575876050987945,1.0476272924740562,1.0204824825777774
1:11000001-11500000,1.0093936528517986,0.9353995008793468,0.9833811653061288,1.0103382930414309,0.9808691884727997
1:11500001-12000000,0.9979476982900826,0.9414753092334168,1.01249223877975,0.9999510183776265,1.0260730334379815
1:12000001-12500000,1.0261753638954407,0.9146969428401096,1.0375219151060235,0.9803599940229841,1.0622112394844996
1:12500001-13000000,,,,,
1:13000001-13500000,,,,,
1:13500001-14000000,,,,,
1:14000001-14500000,1.022305901066917,0.8701853670535932,0.9512262971490608,0.9742222252296023,0.9916925663567246
1:14500001-15000000,1.0633284941453909,0.8689512071066482,0.9268725585435907,0.9742836595327569,0.971908185215957
1:15000001-15500000,1.0792785359709758,0.8684606634171863,0.9402493525136633,1.026938463481359,1.0121085240346124
1:15500001-16000000,0.9317974954203295,0.9442595563060797,1.0655084676634416,1.0067368340803002,1.038228368024467
1:16000001-16500000,,,,,
1:16500001-17000000,,,,,
1:17000001-17500000,,,,,
1:17500001-18000000,,,,,
1:18000001-18500000,1.0197804439094507,0.8766124668977182,0.8972523138445965,0.966868092628652,0.9607323271093218
1:18500001-19000000,1.0192718252341841,0.8513741041271505,0.8754770554501103,0.9450410254737792,0.9597787466357642
1:19000001-19500000,1.0020116646707344,0.9099983928047882,0.9311150271200317,0.9910143878056555,0.989634508478344
1:19500001-20000000,0.9770824074868057,0.931148862085833,1.070706638901913,1.0341740061522045,1.0119185942425866
1:20000001-20500000,1.0649371682144655,0.8651770137883082,1.0240896197971794,1.0076584783315385,1.0358863791348185
1:20500001-21000000,1.0409609548122427,0.9262539090043013,1.0065419038072236,0.9622267801532846,0.9470634167207509
1:21000001-21500000,0.9582452379648122,1.0316160574802484,1.0666121287187953,1.0169144080946666,0.9974585401211591
1:21500001-22000000,0.9610709742483164,0.8284080431934213,0.9748256753232387,0.9889979760584313,1.0171914033702367
1:22000001-22500000,0.9475171184989815,0.9043082089893174,1.0009696037234663,1.0304458762191064,1.0529495197676393
1:22500001-23000000,,,,,
1:23000001-23500000,1.0174418228200748,0.9369596956803855,1.0309511750224896,1.007503071672472,0.9666760549726027
1:23500001-24000000,1.016261193025325,1.027982321559912,1.039225365729863,1.004614856593006,0.9666668341703307
1:24000001-24500000,,,,,
1:24500001-25000000,0.9652248068493422,0.9230245724564491,1.2508302864588794,1.0220242596678522,0.972566284735207
1:25000001-25500000,,,,,
1:25500001-26000000,,,,,
1:26000001-26500000,0.9725634546779315,0.9472165026333781,1.346395959788653,1.0655725202854203,0.9930541964993818
1:26500001-27000000,1.0325575069796216,1.0493639275978792,1.44900229709035,0.9979787400321735,1.0354212070178517
1:27000001-27500000,0.985185994769583,1.014404060621996,1.4338436086285897,0.9739944792523821,0.988229656717462
1:27500001-28000000,0.9808121302819817,0.981209646514944,1.4075180058166472,1.0066549312281043,1.0883271007837285
1:28000001-28500000,,,,,
1:28500001-29000000,,,,,
1:29000001-29500000,1.030840685072237,1.0397725439215475,1.0867538664989496,1.0205468251228786,1.0386019440879615
1:29500001-30000000,0.9360547105947238,0.9032109233906357,0.9694790147656955,0.9242521198353849,0.932578279996456
1:30000001-30500000,0.988498868714006,0.8204554058567519,0.9132902710921422,0.9545894648534904,0.9095094762791998
1:30500001-31000000,,,,,
1:31000001-31500000,,,,,
1:31500001-32000000,1.0353377014053033,0.9985804136768346,1.0371162166027383,1.0085078507440097,0.9771746950068289
1:32000001-32500000,0.957195634852321,0.9405719597466279,1.0521956275464586,1.0213432560107771,0.9844711870222913
1:32500001-33000000,,,,,
1:33000001-33500000,1.0280221518432733,1.0196895619301827,1.1207972853025328,1.042424496982816,1.0222611949873353
