rownames,UP0055_CTRL,UH16_300,UH18_22546,UP0055_HHE1.combined,UP0055_HHE2.combined
1:1-500000,,,,,
1:500001-1000000,,,,,
1:1000001-1500000,0.9714649630522593,1.0707823669769971,1.0015710587481554,0.9997099289734508,1.013772853282147
1:1500001-2000000,,,,,
1:2000001-2500000,1.0175445742336116,1.2023598975463612,1.1036759907341185,1.0228567837652893,0.9819639380134083
1:2500001-3000000,,,,,
1:3000001-3500000,1.0434958280111777,1.1372281667719675,0.9656985403746491,0.9933717308650769,0.9780140135752976
1:3500001-4000000,,,,,
1:4000001-4500000,,,,,
1:4500001-5000000,1.0036478447901425,0.9178959009223471,0.9049486984421968,0.9452234024316889,0.9871315007325392
1:5000001-5500000,1.0051988791444342,0.9005497504214175,0.8847277466488848,0.9461738390100735,0.9758630885218184
1:5500001-6000000,,,,,
1:6000001-6500000,1.0428513593636226,1.1130409152054832,1.038841185351407,0.9483002551814229,1.0142541455168435
1:6500001-7000000,0.9503788393399512,1.1893572548042446,0.9966351781387811,0.9822075931638911,0.9839390518262198
1:7000001-7500000,0.9826356896193659,1.0438669790131336,0.9435565480072713,0.9109147014344879,0.9920526233038062
1:7500001-8000000,1.0058549137036281,1.0772119285280726,1.0079286291906615,0.9498773211083752,0.9847229261207389
1:8000001-8500000,0.9872003214231124,1.036363157973491,1.053420065472603,0.9365846572245708,0.966350058071532
1:8500001-9000000,0.9813621764373581,0.9649599828759713,1.1084783236963172,0.9681907514001935,0.9877024630231199
1:9000001-9500000,0.9451834267147806,0.9690186403705641,1.0368756913034038,0.9166437770360071,1.0176179015176199
1:9500001-10000000,0.9992819213292252,0.9386293082787768,1.0318002573234237,0.9646977578446011,1.0148429608155083
1:10000001-10500000,1.0277477451616563,0.9333065507595641,1.0234665186332874,0.9604161799914941,0.9788824674621293
1:10500001-11000000,1.0254837525156988,0.9272734384800142,1.041556090683615,0.9624566216474754,0.9951292663396145
1:11000001-11500000,0.9933602259925178,0.8657584835812923,0.9385615464688107,1.0205454473091464,1.0408293130833008
1:11500001-12000000,1.0221675152658365,0.870510063996994,0.9934984186093119,0.9798168327099164,1.0286136192912163
