,UH16_300,UH18_22546,UP0055_HHE1.combined,UP0055_HHE2.combined
0,1.3026934624656032,2.018083476909165,1.9431723446271774,2.038920188294056
1,1.9061463267413274,2.02541205071115,1.973260556316452,2.0035812969059448
2,2.3843498918131427,1.9692776904172817,2.2367861880308335,2.286539171596421
3,1.8796158877421953,1.5658283698260314,2.1250624152329682,2.2536437472037187
4,3.359368448812705,1.6158441495489138,2.279501910772667,2.2487414760183846
5,2.947574230929743,1.612944297702878,2.1468092000725028,2.106681888299574
6,2.0955544008892595,1.2479538025222485,1.9203504170388983,1.8752321414328532
7,2.149292032499909,2.3655854998456,2.441798643803332,2.6549574842100983
8,3.611394748982623,2.1674812333649123,1.823249699862704,1.7821854230391556
9,3.68577274144153,2.0364534080665435,2.4696991870395517,2.083390165192976
10,1.9900983925059712,2.006685637765163,2.4062428219574383,2.0939707859219228
11,1.6272442074246396,0.5444614618095347,0.9300380472043328,0.9678205762667775
12,2.008305468872544,1.2405387141705622,2.1991755360709297,2.009385167976154
13,0.9106975688288514,0.7511016837157367,1.1396407186396025,1.0039154328199176
14,1.931252095421479,1.2763948426467766,2.0196293766454674,1.8336236142130702
15,2.9562107363564096,2.1166266221298127,2.92559033616779,2.6522859327521315
16,3.847448651067203,5.274386929873561,5.793317109056579,5.161757844762995
17,0.930668954790514,0.5864243977900878,1.0997792311248755,0.9501581460036286
18,0.7768779277371403,0.48582925217682393,0.9176696373059585,0.699465998891118
19,1.3516905850089138,2.963340350391333,2.9234626566631654,2.943532341871671
20,2.0572282307325267,3.5107082305634503,3.6696533235986153,3.451180820025324
21,2.4250335973095622,2.3920134001677766,2.9370199831680304,2.5272772678592332
22,1.0167989415046748,2.387964296017806,2.884015169929514,2.495784928479361
23,2.018031110710033,2.343183115492877,2.748295635093386,2.4164089280944028
24,1.8597450789715897,2.1561567500663883,2.7003529467430547,2.434107443234929
25,2.6100934738117214,3.4563859683108147,3.687428670366666,3.242034172209992
26,2.5647117947990488,2.119370817483151,2.2610658086268147,1.8874174141518727
27,2.0754895540982834,1.7510323439427282,1.9064810521630504,1.7963339256762838
28,2.972281456725591,2.3826971856394423,2.769909384254371,2.573662411296468
29,2.4268152616882226,1.4285769519424871,1.5571396263737123,1.4444214078273676
30,0.7495012571998216,0.6868978128505787,0.6185213434923915,0.656721735873748
31,1.348348753871772,0.9655714577566408,0.9590680057482583,1.0170732893686871
32,3.061461387912545,1.9139827837087526,2.197967490082938,2.177653566835743
33,1.3902089702209413,1.0533178230739246,1.1979985894982974,1.125289976382705
34,7.4686626201137845,11.080522889275109,10.591740057536317,10.02888211171972
35,1.044052913557122,0.8825544379166574,1.1595225640012594,1.024226577765027
36,0.8581368350556566,0.9927497473130773,1.1446262220299506,1.0591173107285348
37,2.388177946686543,1.792429362051006,1.8768156173563135,1.8527853675017756
38,2.088105553897959,1.5515921554060677,2.193515042714256,1.93897674514432
39,2.4438376462276152,1.8256651477585844,2.3270495176888915,2.1560105520968023
40,1.440952656276292,1.9470646502299878,2.0457137583489216,2.112064858019519
41,1.3928107259364602,2.94493758843133,2.89853004156783,2.9738312298636496
42,2.219489123793233,1.9426443422371085,2.0559379631011194,2.0675361812284336
43,2.165427044812246,2.8899282816855045,2.789336941238594,2.942273794267886
44,4.184487302545797,1.5786280935450083,2.0598202731799446,1.693211893107119
45,4.727091649338819,2.6179710699718606,2.5854013580800697,2.3913732430807118
46,3.0062596349488935,1.630927637589978,2.196735616837827,2.0017534660282017
47,2.737850425907684,1.4445025883119087,2.1631311823329504,2.055895569162734
48,2.0728905587306583,1.938142366402557,1.4615703193503675,1.1845895545140723
49,2.007206827660949,1.701712353149354,1.613696748135296,1.124007965048626
50,2.855569911891731,2.674076507494627,2.3705929590522645,2.0150042231786145
51,2.078433252260021,1.7093565789993415,1.8106279989504075,1.3562517070532474
52,2.9787466563078904,2.5928799701743492,2.362794846266799,1.9808926504526
53,4.623741161057089,5.451330226819806,4.428742266147932,4.36286681891346
54,1.643350176770329,1.9948478756760304,2.0460449697367693,1.977313312781152
55,1.113865149431636,1.235236634795428,1.35134980643426,1.2597714231594874
56,1.8057710977592423,1.8042882846996917,1.9119305696638889,1.9825567003279274
57,2.898437117234766,0.9411046955869538,1.01115735846689,0.9173284685626615
58,2.91818141400499,1.869127283791739,1.575949243922963,1.5955050333096872
59,0.73389864486893,1.5436488630351737,1.7643840065750114,1.7802500669510364
60,1.5739487103889909,1.6823304443070755,2.157664120572143,1.9420350557454364
61,1.8411413529740603,2.595181727071807,3.035194437558503,2.901277002549818
62,2.272360844348539,1.9641735403540148,1.8246840975427994,1.814812075688451
63,2.091670087569845,1.7990832256806195,1.9357872973632202,1.881861325231681
64,1.8642851337562127,1.6987620680354398,1.4121637255793202,1.4482042281777767
65,1.1622294762489789,1.0460521285842692,1.2558937271908452,1.0409712156047728
66,6.031381014659392,6.4616207572333915,6.065208736029726,6.1889809884496625
67,2.620822252641644,1.9320751753239904,3.0207313575060977,2.524121272588511
68,5.615336726705625,6.086038284556375,5.651063724163641,5.188091105328045
69,5.589880369808625,6.7199133702277045,6.1066868372885,5.774784956009009
70,1.877172382007371,1.9463876028207376,1.9746039423214068,1.9380256928253996
71,2.051590990918453,0.8828301988934253,1.0545021770204324,0.9413718740731944
72,1.7656615946616343,1.2991521991308805,1.4492576729364761,1.429176580639448
