,UH18_12903,UP0056_HHE2.combined
0,2.032710188588358,2.2008733142884735
1,2.1123074223450162,2.408092280953745
2,1.9762102217302346,2.0811014373708017
3,1.9412358735760704,1.608182943730316
4,1.0307647882373234,1.3250310584559832
5,2.795686777223957,2.409856247133191
6,2.9348970080937606,3.0084482031833337
7,1.9522260941570582,1.5740879937144603
8,3.6470893510187814,3.0447530941966416
9,1.0438735157720176,1.3871684278138905
10,3.8254618085188117,3.2986329687760025
11,3.8166802550152337,3.4092253635010645
12,1.9826308432593618,1.6401979386438656
13,2.3668599367124425,2.24026168865173
14,1.0175630805575677,1.084397919655733
15,1.9824035067718286,1.9518650480045923
16,0.5423401686878506,0.5116890195312234
17,3.2888019333869902,2.8850326270162348
18,3.3610253791711413,3.5807482822424936
19,6.138138910257878,6.006812042857307
20,1.0309160262708494,0.9094626981447276
21,2.0046416669589275,2.0110396583283072
22,2.910210106488041,2.5121355229324656
23,1.9700292433173527,1.7537964646802504
24,2.016242310044853,1.9546130586020283
25,1.9741764809313112,2.0140219418589207
26,2.001172617657523,1.8922719800882934
27,1.8996234129773333,1.449691724348523
28,2.091249766094503,1.4999465454213667
29,1.0746709945616768,1.1581811149415766
30,0.1489682848062701,0.09304722054991421
31,3.1493965245481634,2.8505492129578816
32,3.983261337609574,3.634368478439548
33,1.0516529631186864,1.126686978347256
34,1.0025811573843493,0.9910974325642286
35,2.0805649765293177,2.0604581049539266
36,4.270534232522633,3.7712494787981923
37,5.978198481260615,5.021139444496017
38,2.2293776916725756,2.075806678187895
39,1.1300694549315509,1.345859040960364
