rownames,UP0056_CTRL,UH18_12903,UP0056_HHE2.combined,UP0056_HHE1.combined
1:1-500000,,,,
1:500001-1000000,,,,
1:1000001-1500000,1.0701845964403032,1.1657342258263426,1.0180851270970777,0.9773358025658647
1:1500001-2000000,,,,
1:2000001-2500000,1.0188646395093899,1.0161574492463372,1.0213557536527673,0.9489540632027603
1:2500001-3000000,,,,
1:3000001-3500000,0.990956220553766,0.9239500421282847,0.9843476537581372,0.9893019780328687
1:3500001-4000000,,,,
1:4000001-4500000,,,,
1:4500001-5000000,1.0097134097938576,0.941715924653305,0.926155369858943,0.9390314084956385
1:5000001-5500000,1.0099265821982255,0.9765894853886706,0.9507989005948759,0.9010096778674102
1:5500001-6000000,,,,
1:6000001-6500000,0.9648462564956164,1.0994224395990295,0.9899201275340695,0.9972550741536029
1:6500001-7000000,1.023329627111965,1.0259728133458925,0.9993820148151047,0.9832611917155402
1:7000001-7500000,0.9786150101105368,1.0166553049358167,0.9628771069034688,0.9721997848000983
1:7500001-8000000,0.9378223759490115,0.9880053604057957,1.0025611617652923,1.0083345929473566
1:8000001-8500000,1.035400350888729,1.0608127086125798,1.0013630377038936,0.9464573489554399
1:8500001-9000000,0.9766596740018142,1.0348656032270607,1.0053589976237138,1.0584992140353902
1:9000001-9500000,0.9997451204788433,1.1210986854654352,1.0111001372879493,1.0377296701640708
1:9500001-10000000,1.036542605522458,1.173485669767746,1.0395408046393277,1.0573538871091548
1:10000001-10500000,0.9901951962313302,1.1100801290158835,1.0223679309600946,0.9679083546823163
1:10500001-11000000,1.044030712020508,1.101297942919319,0.9963142815904985,0.9680678647649354
1:11000001-11500000,0.9982521334301927,1.0406133963975543,0.9960629176723991,0.9636987682414637
1:11500001-12000000,1.0345552353369531,1.036593935141473,0.9931130425958219,1.0030319284994051
1:12000001-12500000,0.9914659798489013,1.0123460493269942,1.0537378144950493,1.0235804845079455
1:12500001-13000000,,,,
1:13000001-13500000,,,,
1:13500001-14000000,,,,
1:14000001-14500000,0.9596681113957297,1.0149956506970257,0.9644272412390843,0.9564948658448843
1:14500001-15000000,0.9299848136558643,0.9864185321233819,0.9808601772729166,0.9650916016174935
